hist_tagname,ign_tagprovider,ign_tagname,ign_fullpath,Imaginary
MTPSVR2.ATPETK1CAVTV.F_CV,ATP,APS_PLC01/ATPETK1CAVTV,[ATP]APS_PLC01/ATPETK1CAVTV,1
MTPSVR2.APSBSP010000QRN.F_CV,ATP,APS_PLC01/BSP01_0000/QRN,[ATP]APS_PLC01/BSP01_0000/QRN,0
MTPSVR2.APSBSP010000QSI.F_CV,ATP,APS_PLC01/BSP01_0000/QSI,[ATP]APS_PLC01/BSP01_0000/QSI,0
MTPSVR2.APSBSP020000QRN.F_CV,ATP,APS_PLC01/BSP02_0000/QRN,[ATP]APS_PLC01/BSP02_0000/QRN,0
MTPSVR2.APSBSP020000QSI.F_CV,ATP,APS_PLC01/BSP02_0000/QSI,[ATP]APS_PLC01/BSP02_0000/QSI,0
MTPSVR2.APSBSP030000QRN.F_CV,ATP,APS_PLC01/BSP03_0000/QRN,[ATP]APS_PLC01/BSP03_0000/QRN,0
MTPSVR2.APSBSP030000QSI.F_CV,ATP,APS_PLC01/BSP03_0000/QSI,[ATP]APS_PLC01/BSP03_0000/QSI,0
MTPSVR2.APSBWA01FI01QFL.F_CV,ATP,APS_PLC01/BWA01_FI01/QFL,[ATP]APS_PLC01/BWA01_FI01/QFL,0
MTPSVR2.APSBWA01FI01QVA.F_CV,ATP,APS_PLC01/BWA01_FI01/QVA,[ATP]APS_PLC01/BWA01_FI01/QVA,0
MTPSVR2.APSBWA01FI01QYF.F_CV,ATP,APS_PLC01/BWA01_FI01/QYF,[ATP]APS_PLC01/BWA01_FI01/QYF,0
MTPSVR2.APSBWP010000QRN.F_CV,ATP,APS_PLC01/BWP01_0000/QRN,[ATP]APS_PLC01/BWP01_0000/QRN,0
MTPSVR2.APSBWP020000QRN.F_CV,ATP,APS_PLC01/BWP02_0000/QRN,[ATP]APS_PLC01/BWP02_0000/QRN,0
MTPSVR2.APSGEN010000QRN.F_CV,ATP,APS_PLC01/GEN01_0000_QRN,[ATP]APS_PLC01/GEN01_0000_QRN,0
MTPSVR2.APSPRV010000QZI.F_CV,ATP,APS_PLC01/PRV01_0000_QZI,[ATP]APS_PLC01/PRV01_0000_QZI,1
MTPSVR2.APSTWL01FI01QFL.F_CV,ATP,APS_PLC01/TWL01_FI01/QFL,[ATP]APS_PLC01/TWL01_FI01/QFL,0
MTPSVR2.APSTWL01FI01QVA.F_CV,ATP,APS_PLC01/TWL01_FI01/QVA,[ATP]APS_PLC01/TWL01_FI01/QVA,0
MTPSVR2.APSTWL01FI01QYF.F_CV,ATP,APS_PLC01/TWL01_FI01/QYF,[ATP]APS_PLC01/TWL01_FI01/QYF,0
MTPSVR2.APSTWL01LI01VCA.F_CV,ATP,APS_PLC01/TWL01_LI01_MASL/VCA,[ATP]APS_PLC01/TWL01_LI01_MASL/VCA,0
MTPSVR2.APSTWL01NI01QVA.F_CV,ATP,APS_PLC01/TWL01_NI01/QVA,[ATP]APS_PLC01/TWL01_NI01/QVA,0
MTPSVR2.APSTWL01PI01QVA.F_CV,ATP,APS_PLC01/TWL01_PI01/QVA,[ATP]APS_PLC01/TWL01_PI01/QVA,0
MTPSVR2.APSTWL01RF01QVA.F_CV,ATP,APS_PLC01/TWL01_RF01/QVA,[ATP]APS_PLC01/TWL01_RF01/QVA,0
MTPSVR2.APSTWR01LI01QVA.F_CV,ATP,APS_PLC01/TWR01_LI01/QVA,[ATP]APS_PLC01/TWR01_LI01/QVA,0
MTPSVR2.APSTWR02LI01QVA.F_CV,ATP,APS_PLC01/TWR02_LI01/QVA,[ATP]APS_PLC01/TWR02_LI01/QVA,0
MTPSVR2.APSTWR0XCA01QVA.F_CV,ATP,APS_PLC01/TWR0X_CA01/QVA,[ATP]APS_PLC01/TWR0X_CA01/QVA,0
MTPSVR2.APSW00030000QRN.F_CV,ATP,APS_PLC01/W0003_0000/QRN,[ATP]APS_PLC01/W0003_0000/QRN,0
MTPSVR2.APSW0003FI01QFL.F_CV,ATP,APS_PLC01/W0003_FI01/QFL,[ATP]APS_PLC01/W0003_FI01/QFL,0
MTPSVR2.APSW0003FI01QVA.F_CV,ATP,APS_PLC01/W0003_FI01/QVA,[ATP]APS_PLC01/W0003_FI01/QVA,0
MTPSVR2.APSW0003FI01QYF.F_CV,ATP,APS_PLC01/W0003_FI01/QYF,[ATP]APS_PLC01/W0003_FI01/QYF,0
MTPSVR2.APSW0003PI01QVA.F_CV,ATP,APS_PLC01/W0003_PI01/QVA,[ATP]APS_PLC01/W0003_PI01/QVA,0
MTPSVR2.APSTWR01LI02QVA.F_CV,ATP,ATP_PLC01/APSTWR01LI02QVA,[ATP]ATP_PLC01/APSTWR01LI02QVA,1
MTPSVR2.ATPASB010000QRN.F_CV,ATP,ATP_PLC01/ASB01_0000/QRN,[ATP]ATP_PLC01/ASB01_0000/QRN,0
MTPSVR2.ATPASB01FI01QVA.F_CV,ATP,ATP_PLC01/ASB01_FI01/QVA,[ATP]ATP_PLC01/ASB01_FI01/QVA,0
MTPSVR2.ATPA003LIQ01.F_CV,ATP,ATP_PLC01/ATPA003LIQ01,[ATP]ATP_PLC01/ATPA003LIQ01,1
MTPSVR2.ATPAB0100SRS.F_CV,ATP,ATP_PLC01/ATPAB0100SRS,[ATP]ATP_PLC01/ATPAB0100SRS,1
MTPSVR2.ATPAB01SIQ01.F_CV,ATP,ATP_PLC01/ATPAB01SIQ01,[ATP]ATP_PLC01/ATPAB01SIQ01,1
MTPSVR2.ATPAB0200SRS.F_CV,ATP,ATP_PLC01/ATPAB0200SRS,[ATP]ATP_PLC01/ATPAB0200SRS,1
MTPSVR2.ATPAB0300SRS.F_CV,ATP,ATP_PLC01/ATPAB0300SRS,[ATP]ATP_PLC01/ATPAB0300SRS,1
MTPSVR2.ATPAB03SIQ01.F_CV,ATP,ATP_PLC01/ATPAB03SIQ01,[ATP]ATP_PLC01/ATPAB03SIQ01,1
MTPSVR2.ATPFL00SPR02.F_CV,ATP,ATP_PLC01/ATPFL00SPR02,[ATP]ATP_PLC01/ATPFL00SPR02,1
MTPSVR2.ATPFL01AVMDI.F_CV,ATP,ATP_PLC01/ATPFL01AVMDI,[ATP]ATP_PLC01/ATPFL01AVMDI,1
MTPSVR2.ATPFL01BWMDI.F_CV,ATP,ATP_PLC01/ATPFL01BWMDI,[ATP]ATP_PLC01/ATPFL01BWMDI,1
MTPSVR2.ATPFL01DRMDI.F_CV,ATP,ATP_PLC01/ATPFL01DRMDI,[ATP]ATP_PLC01/ATPFL01DRMDI,1
MTPSVR2.ATPFL01IVMDI.F_CV,ATP,ATP_PLC01/ATPFL01IVMDI,[ATP]ATP_PLC01/ATPFL01IVMDI,1
MTPSVR2.ATPFL01OVMDI.F_CV,ATP,ATP_PLC01/ATPFL01OVMDI,[ATP]ATP_PLC01/ATPFL01OVMDI,1
MTPSVR2.ATPFL01WAMDI.F_CV,ATP,ATP_PLC01/ATPFL01WAMDI,[ATP]ATP_PLC01/ATPFL01WAMDI,1
MTPSVR2.ATPFL01WVMDI.F_CV,ATP,ATP_PLC01/ATPFL01WVMDI,[ATP]ATP_PLC01/ATPFL01WVMDI,1
MTPSVR2.ATPFL02AVMDI.F_CV,ATP,ATP_PLC01/ATPFL02AVMDI,[ATP]ATP_PLC01/ATPFL02AVMDI,1
MTPSVR2.ATPFL02BWMDI.F_CV,ATP,ATP_PLC01/ATPFL02BWMDI,[ATP]ATP_PLC01/ATPFL02BWMDI,1
MTPSVR2.ATPFL02DRMDI.F_CV,ATP,ATP_PLC01/ATPFL02DRMDI,[ATP]ATP_PLC01/ATPFL02DRMDI,1
MTPSVR2.ATPFL02IVMDI.F_CV,ATP,ATP_PLC01/ATPFL02IVMDI,[ATP]ATP_PLC01/ATPFL02IVMDI,1
MTPSVR2.ATPFL02OVMDI.F_CV,ATP,ATP_PLC01/ATPFL02OVMDI,[ATP]ATP_PLC01/ATPFL02OVMDI,1
MTPSVR2.ATPFL02WAMDI.F_CV,ATP,ATP_PLC01/ATPFL02WAMDI,[ATP]ATP_PLC01/ATPFL02WAMDI,1
MTPSVR2.ATPFL02WVMDI.F_CV,ATP,ATP_PLC01/ATPFL02WVMDI,[ATP]ATP_PLC01/ATPFL02WVMDI,1
MTPSVR2.ATPFL03AVMDI.F_CV,ATP,ATP_PLC01/ATPFL03AVMDI,[ATP]ATP_PLC01/ATPFL03AVMDI,1
MTPSVR2.ATPFL03BWMDI.F_CV,ATP,ATP_PLC01/ATPFL03BWMDI,[ATP]ATP_PLC01/ATPFL03BWMDI,1
MTPSVR2.ATPFL03DRMDI.F_CV,ATP,ATP_PLC01/ATPFL03DRMDI,[ATP]ATP_PLC01/ATPFL03DRMDI,1
MTPSVR2.ATPFL03IVMDI.F_CV,ATP,ATP_PLC01/ATPFL03IVMDI,[ATP]ATP_PLC01/ATPFL03IVMDI,1
MTPSVR2.ATPFL03OVMDI.F_CV,ATP,ATP_PLC01/ATPFL03OVMDI,[ATP]ATP_PLC01/ATPFL03OVMDI,1
MTPSVR2.ATPFL03WAMDI.F_CV,ATP,ATP_PLC01/ATPFL03WAMDI,[ATP]ATP_PLC01/ATPFL03WAMDI,1
MTPSVR2.ATPFL03WVMDI.F_CV,ATP,ATP_PLC01/ATPFL03WVMDI,[ATP]ATP_PLC01/ATPFL03WVMDI,1
MTPSVR2.ATPFL04AVMDI.F_CV,ATP,ATP_PLC01/ATPFL04AVMDI,[ATP]ATP_PLC01/ATPFL04AVMDI,1
MTPSVR2.ATPFL04BWMDI.F_CV,ATP,ATP_PLC01/ATPFL04BWMDI,[ATP]ATP_PLC01/ATPFL04BWMDI,1
MTPSVR2.ATPFL04DRMDI.F_CV,ATP,ATP_PLC01/ATPFL04DRMDI,[ATP]ATP_PLC01/ATPFL04DRMDI,1
MTPSVR2.ATPFL04IVMDI.F_CV,ATP,ATP_PLC01/ATPFL04IVMDI,[ATP]ATP_PLC01/ATPFL04IVMDI,1
MTPSVR2.ATPFL04OVMDI.F_CV,ATP,ATP_PLC01/ATPFL04OVMDI,[ATP]ATP_PLC01/ATPFL04OVMDI,1
MTPSVR2.ATPFL04WAMDI.F_CV,ATP,ATP_PLC01/ATPFL04WAMDI,[ATP]ATP_PLC01/ATPFL04WAMDI,1
MTPSVR2.ATPFL04WVMDI.F_CV,ATP,ATP_PLC01/ATPFL04WVMDI,[ATP]ATP_PLC01/ATPFL04WVMDI,1
MTPSVR2.ATPFSP0FIQ01.F_CV,ATP,ATP_PLC01/ATPFSP0FIQ01,[ATP]ATP_PLC01/ATPFSP0FIQ01,1
MTPSVR2.ATPFSP0NIQ01.F_CV,ATP,ATP_PLC01/ATPFSP0NIQ01,[ATP]ATP_PLC01/ATPFSP0NIQ01,1
MTPSVR2.ATPFSP0TT.F_CV,ATP,ATP_PLC01/ATPFSP0TT,[ATP]ATP_PLC01/ATPFSP0TT,1
MTPSVR2.ATPGA01GCQ01.F_CV,ATP,ATP_PLC01/ATPGA01GCQ01,[ATP]ATP_PLC01/ATPGA01GCQ01,1
MTPSVR2.ATPRES0AIQ01.F_CV,ATP,ATP_PLC01/ATPRES0AIQ01,[ATP]ATP_PLC01/ATPRES0AIQ01,1
MTPSVR2.ATPRES0CARCT.F_CV,ATP,ATP_PLC01/ATPRES0CARCT,[ATP]ATP_PLC01/ATPRES0CARCT,1
MTPSVR2.ATPRPU3SPR01.F_CV,ATP,ATP_PLC01/ATPRPU3SPR01,[ATP]ATP_PLC01/ATPRPU3SPR01,1
MTPSVR2.ATPRPU3SPR02.F_CV,ATP,ATP_PLC01/ATPRPU3SPR02,[ATP]ATP_PLC01/ATPRPU3SPR02,1
MTPSVR2.ATPRPU3SPR03.F_CV,ATP,ATP_PLC01/ATPRPU3SPR03,[ATP]ATP_PLC01/ATPRPU3SPR03,1
MTPSVR2.ATPSHT1NIQ01.F_CV,ATP,ATP_PLC01/ATPSHT1NIQ01,[ATP]ATP_PLC01/ATPSHT1NIQ01,1
MTPSVR2.ATPTWL1HIQ01.F_CV,ATP,ATP_PLC01/ATPTWL1HIQ01,[ATP]ATP_PLC01/ATPTWL1HIQ01,1
MTPSVR2.ATPY000FIQ01.F_CV,ATP,ATP_PLC01/ATPY000FIQ01,[ATP]ATP_PLC01/ATPY000FIQ01,1
MTPSVR2.ATPY001RTQRN.F_CV,ATP,ATP_PLC01/ATPY001RTQRN,[ATP]ATP_PLC01/ATPY001RTQRN,1
MTPSVR2.ATPY002RTQRN.F_CV,ATP,ATP_PLC01/ATPY002RTQRN,[ATP]ATP_PLC01/ATPY002RTQRN,1
MTPSVR2.ATPFL0010000QRN.F_CV,ATP,ATP_PLC01/FL001_0000_QRN,[ATP]ATP_PLC01/FL001_0000_QRN,0
MTPSVR2.ATPFL001FI01QFL.F_CV,ATP,ATP_PLC01/FL001_FI01/QFL,[ATP]ATP_PLC01/FL001_FI01/QFL,0
MTPSVR2.ATPFL001FI01QVA.F_CV,ATP,ATP_PLC01/FL001_FI01/QVA,[ATP]ATP_PLC01/FL001_FI01/QVA,0
MTPSVR2.ATPFL001FI01QYF.F_CV,ATP,ATP_PLC01/FL001_FI01/QYF,[ATP]ATP_PLC01/FL001_FI01/QYF,0
MTPSVR2.ATPFL001OV01QZI.F_CV,ATP,ATP_PLC01/FL001_OV01/QZI,[ATP]ATP_PLC01/FL001_OV01/QZI,0
MTPSVR2.ATPFL001PD01QVA.F_CV,ATP,ATP_PLC01/FL001_PD01/QVA,[ATP]ATP_PLC01/FL001_PD01/QVA,0
MTPSVR2.ATPFL001WV01QZI.F_CV,ATP,ATP_PLC01/FL001_WV01/QZI,[ATP]ATP_PLC01/FL001_WV01/QZI,0
